Ürün Adı,Fiyat,Bellek Boyutu,Artırılmış (OC) Frekans,Teknik Puan,Link
Arktek Radeon R5 230 1GB 64bit,424.99,1 GB,-,19,https://www.epey.com/ekran-karti/arktek-radeon-r5-230-1gb-64bit.html
Quadro GT420-2GD3L,563.77,2 GB,-,19,https://www.epey.com/ekran-karti/quadro-gt420-2gd3l.html
Quadro Radeon R5 230 2GB,450.9,2 GB,-,18,https://www.epey.com/ekran-karti/quadro-radeon-r5-230-2gb.html
Quadro Radeon R5 230 1G,400.02,1 GB,-,18,https://www.epey.com/ekran-karti/quadro-radeon-r5-230-1g.html
Powergate GeForce GT 420 2GB,649.0,2 GB,-,18,https://www.epey.com/ekran-karti/powergate-geforce-gt-420-2gb.html
Sapphire Radeon R5 230 2GB,695.0,2 GB,-,17,https://www.epey.com/ekran-karti/sapphire-radeon-r5-230-2gb.html
Powergate Radeon R5 230 2GB,479.64,2 GB,-,17,https://www.epey.com/ekran-karti/powergate-radeon-r5-230-2gb.html
Axle Radeon HD 5450 2GB 64bit,464.19,2 GB,-,17,https://www.epey.com/ekran-karti/axle-radeon-hd-5450-2gb-64bit.html
Palit GeForce GTX 1650 GP,5065.77,4 GB,1590 MHz,47,https://www.epey.com/ekran-karti/palit-geforce-gtx-1650-gp.html
Jingying Radeon RX 580 Gaming Pro 4GB,5137.66,4 GB,1340 MHz,46,https://www.epey.com/ekran-karti/jingying-radeon-rx-580-gaming-pro-4gb.html
Asus ROG Strix Radeon RX 570 OC 8G,9166.54,8 GB,1310 MHz,46,https://www.epey.com/ekran-karti/asus-rog-strix-radeon-rx-570-oc-8g.html
MSI Radeon RX 570 Armor 8G OC,8278.0,8 GB,1268 MHz,46,https://www.epey.com/ekran-karti/msi-radeon-rx-570-armor-8g-oc.html
PNY Quadro P2200,6484.8,5 GB,1493 MHz,45,https://www.epey.com/ekran-karti/pny-quadro-p2200.html
Asus ROG Strix GeForce GTX 1650 Gaming OC,6768.0,4 GB,1860 MHz,45,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-gtx-1650-gaming-oc.html
Gainward GeForce GTX 1650 Ghost OC,4690.0,4 GB,1815 MHz,44,https://www.epey.com/ekran-karti/gainward-geforce-gtx-1650-ghost-oc.html
MSI GeForce GTX 1650 Ventus XS 4G OC,5065.28,4 GB,1740 MHz,44,https://www.epey.com/ekran-karti/msi-geforce-gtx-1650-ventus-xs-4g-oc.html
MSI Geforce GTX 1650 Aero ITX 4G OC,4329.84,4 GB,1740 MHz,44,https://www.epey.com/ekran-karti/msi-geforce-gtx-1650-aero-itx-4g-oc-v809-3061r.html
Inno3D GeForce GTX 1650 Twin X2 OC,3700.21,4 GB,1710 MHz,44,https://www.epey.com/ekran-karti/inno3d-geforce-gtx-1650-twin-x2-oc.html
MSI GeForce GTX 1650 Ventus XS 4G OCV1 GDDR5,5179.0,4 GB,1695 MHz,44,https://www.epey.com/ekran-karti/msi-geforce-gtx-1650-ventus-xs-4g-ocv1-gddr5.html
MSI GeForce GTX 1650 4GT LP OC Edition,4417.0,4 GB,1695 MHz,44,https://www.epey.com/ekran-karti/msi-geforce-gtx-1650-4gt-lp-oc-edition.html
Gainward GeForce GTX 1650 Ghost,3759.06,4 GB,1665 MHz,44,https://www.epey.com/ekran-karti/gainward-geforce-gtx-1650-ghost.html
XFX Radeon RX 570 RS 4GB XXX Edition,4960.62,4 GB,1284 MHz,44,https://www.epey.com/ekran-karti/xfx-amd-radeon-rx-570-rs-4gb-xxx-edition.html
Arktek GeForce GTX 1650 4GB Dual Fan,9649.04,4 GB,1665 MHz,44,https://www.epey.com/ekran-karti/arktek-geforce-gtx-1650-4gb-dual-fan.html
PNY Quadro T1000,4663.0,4 GB,1395 MHz,42,https://www.epey.com/ekran-karti/pny-quadro-t1000.html
PNY Quadro P2000,5063.0,5 GB,1480 MHz,41,https://www.epey.com/ekran-karti/pny-quadro-p2000.html
MSI GeForce GTX 1050 Ti Gaming X 4G,7741.44,4 GB,1493 MHz,41,https://www.epey.com/ekran-karti/msi-geforce-gtx-1050-ti-gaming-x-4g.html
Inno3D GeForce GTX 1050 Ti Twin X2,2974.9,4 GB,1392 MHz,40,https://www.epey.com/ekran-karti/inno3d-geforce-gtx-1050-ti-twin-x2.html
MSI GeForce GTX 1050 Ti 4G,3537.1,4 GB,1493 MHz,40,https://www.epey.com/ekran-karti/msi-geforce-gtx-1050-ti-4g.html
Asus Cerberus GeForce GTX 1050 Ti OC 4G,3433.0,4 GB,1480 MHz,40,https://www.epey.com/ekran-karti/asus-cerberus-geforce-gtx-1050-ti-oc-4g-cerberus-gtx1050ti-o4g.html
MSI GeForce GTX 1050 Ti Aero ITX 4G OCV1,4500.0,4 GB,1455 MHz,40,https://www.epey.com/ekran-karti/msi-geforce-gtx-1050-ti-aero-itx-4g-ocv1.html
MSI GeForce GTX 1050 Ti OC Edition,4250.0,4 GB,1455 MHz,40,https://www.epey.com/ekran-karti/msi-geforce-gtx-1050-ti-oc-edition.html
