Ürün Adı,Fiyat,Baskı Tekniği,Baskı Türü,Azami Baskı Çözünürlüğü,Link
Canon I-Sensys LBP214DW,3479.0,Lazer,Siyah,,https://www.epey.com/yazici/canon-i-sensys-lbp214dw.html
Canon Pixma MX395,1344.0,Mürekkepli,Renkli,,https://www.epey.com/yazici/canon-pixma-mx395.html
Canon I-Sensys MF264DW,5300.0,Mürekkepli,Renkli,,https://www.epey.com/yazici/canon-i-sensys-mf264dw.html
Epson Workforce AL-M320DN,3207.06,Lazer,Siyah,,https://www.epey.com/yazici/epson-workforce-al-m320dn.html
Epson Workforce Pro WF-C8190DW,6849.9,Mürekkepli,Renkli,,https://www.epey.com/yazici/epson-workforce-pro-wf-c8190dw.html
Olivetti D-Copia 3524MF,4992.0,Lazer,Siyah,,https://www.epey.com/yazici/olivetti-d-copia-3524mf.html
OKI ES4192DN,9597.76,Lazer,Siyah,,https://www.epey.com/yazici/oki-es4192dn.html
Epson EcoTank M15140,6649.0,Mürekkepli,Renkli,,https://www.epey.com/yazici/epson-ecotank-m15140.html
HP DeskJet 2721 (7FR54B),558.98,Mürekkepli,Renkli,,https://www.epey.com/yazici/hp-deskjet-2721-7fr54b.html
Epson EcoTank L3260,2299.0,Mürekkepli,Renkli,,https://www.epey.com/yazici/epson-ecotank-l3260.html
HP LaserJet Pro M428dw,3489.6,Lazer,Siyah,,https://www.epey.com/yazici/hp-laserjet-pro-m428dw-w1a28a.html
HP LaserJet M236D,1582.51,Lazer,Siyah,,https://www.epey.com/yazici/hp-laserjet-m236d.html
Epson EcoTank L6570,7700.0,Mürekkepli,Renkli,,https://www.epey.com/yazici/epson-ecotank-l6570.html
Pantum P2500,818.03,Lazer,Siyah,,https://www.epey.com/yazici/pantum-p2500.html
Pantum P2500W,828.48,Lazer,Siyah,,https://www.epey.com/yazici/pantum-p2500w.html
Lexmark B2338DW,1266.78,Lazer,Siyah,,https://www.epey.com/yazici/lexmark-b2338dw.html
Brother MFC-L2716DW,3723.84,Lazer,Siyah,,https://www.epey.com/yazici/brother-mfc-l2716dw.html
HP DeskJet Plus 4120 (3XV14B),685.99,Mürekkepli,Renkli,,https://www.epey.com/yazici/hp-deskjet-plus-4120-3xv14b.html
Xerox B215V-DNI,1995.0,Lazer,Siyah,,https://www.epey.com/yazici/xerox-b215v-dni.html
Lexmark MB2236ADW,1583.03,Lazer,Siyah,,https://www.epey.com/yazici/lexmark-mb2236adw.html
Canon i-SENSYS LBP223DW,2009.7,Lazer,Siyah,,https://www.epey.com/yazici/canon-i-sensys-lbp223dw.html
Canon i-SENSYS MF237w,3316.45,Lazer,Siyah,,https://www.epey.com/yazici/canon-i-sensys-mf237w.html
Brother DCP-T420W,1626.8,Mürekkepli,Renkli,,https://www.epey.com/yazici/brother-dcp-t420w.html
Xerox B205V-NI,1776.0,Lazer,Siyah,,https://www.epey.com/yazici/xerox-b205v-ni.html
HP Laser MFP 135a,1649.99,Lazer,Siyah,,https://www.epey.com/yazici/hp-laser-mfp-135a.html
HP Ink Tank 315 Z4B04A,1343.04,Mürekkepli,Renkli,,https://www.epey.com/yazici/hp-ink-tank-315-z4b04a.html
Canon i-SENSYS MF645Cx,7280.0,Lazer,Renkli,,https://www.epey.com/yazici/canon-i-sensys-mf645cx.html
Epson EcoTank L4266,3300.4,Mürekkepli,Renkli,,https://www.epey.com/yazici/epson-ecotank-l4266.html
HP M137fnw (4ZB84A),2475.0,Lazer,Siyah,,https://www.epey.com/yazici/hp-m137fnw-4zb84a.html
HP OfficeJet Pro 7720,2147.0,Mürekkepli,Renkli,,https://www.epey.com/yazici/hp-officejet-pro-7720-y0s18a.html
Canon Pixma E304,659.99,Mürekkepli,Renkli,,https://www.epey.com/yazici/canon-pixma-e304.html
Canon Pixma G2460,1274.88,Mürekkepli,Renkli,,https://www.epey.com/yazici/canon-pixma-g2460.html
Epson EcoTank L3156,1959.0,Mürekkepli,Renkli,,https://www.epey.com/yazici/epson-l3156.html
